#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:27:25;
7;
TA_SP15P2_ET1	0	5000	255,0,0;
CO_SP15P2_ET1	0	5000	0,64,0;
DBS_SP15P2_ET1	0	5000	0,0,128;
DBE_SP15P2_ET1	0	5000	128,0,128;
TA_SP15P3_ET1	0	5000	255,255,0;
CO_SP15P3_ET1	0	5000	255,128,128;
DBS_SP15P3_ET1	0	5000	0,255,0;

#!(s);Date;Time;TA_SP15P2_ET1;CO_SP15P2_ET1;DBS_SP15P2_ET1;DBE_SP15P2_ET1;TA_SP15P3_ET1;CO_SP15P3_ET1;DBS_SP15P3_ET1;
1730641372;03.11.2024;13:42:52;19;0;331;346;0;0;353;
1730642275;03.11.2024;13:57:55;18.7;0;338;353;0;0;353;
1730643178;03.11.2024;14:12:58;18.8;0;338;360;0;0;353;
1730644082;03.11.2024;14:28:02;18.8;0;360;360;0;0;353;
1730644985;03.11.2024;14:43:05;18.8;0;338;331;0;0;353;
1730645888;03.11.2024;14:58:08;18.5;0;338;338;0;0;346;
1730646791;03.11.2024;15:13:11;18.9;0;338;346;0;0;346;
1730647694;03.11.2024;15:28:14;19;0;346;353;0;0;353;
1730648597;03.11.2024;15:43:17;18.9;0;346;346;0;0;346;
1730649500;03.11.2024;15:58:20;19.1;0;346;346;0;0;346;
1730650404;03.11.2024;16:13:24;19;0;331;331;0;0;353;
1730651307;03.11.2024;16:28:27;18.8;0;371;367;0;0;346;
1730652210;03.11.2024;16:43:30;18.9;0;353;353;0;0;338;
1730653113;03.11.2024;16:58:33;18.9;0;338;353;0;0;360;
1730654016;03.11.2024;17:13:36;18.9;0;346;346;0;0;346;
1730654919;03.11.2024;17:28:39;19.1;0;346;353;0;0;353;
1730655823;03.11.2024;17:43:43;19;0;338;353;0;0;346;
1730656726;03.11.2024;17:58:46;18.9;0;360;331;0;0;346;
1730657629;03.11.2024;18:13:49;18.7;0;353;338;0;0;346;
1730658532;03.11.2024;18:28:52;18.8;0;360;353;0;0;353;
1730659435;03.11.2024;18:43:55;18.9;0;346;346;0;0;353;
1730660338;03.11.2024;18:58:58;18.9;0;353;353;0;0;346;
1730661242;03.11.2024;19:14:02;18.6;0;353;353;0;0;338;
1730662145;03.11.2024;19:29:05;18.7;0;331;353;0;0;353;
